trip_duration,start_date,end_date,start_station_id,end_station_id,bike_id,member_type,location_id
806,2019-01-01 07:57:35.5730,2019-01-01 08:11:02.4420,88,179,2145,Subscriber,3
1158,2019-01-01 07:58:26.8750,2019-01-01 08:17:45.5040,96,11,4442,Subscriber,3
3536,2019-01-01 07:59:40.4820,2019-01-01 08:58:36.7900,23,23,2170,Subscriber,3
244,2019-01-01 08:02:50.7160,2019-01-01 08:06:55.5010,145,115,2272,Subscriber,3
46059,2019-01-01 08:04:17.7130,2019-01-01 20:51:57.2110,59,23,3368,Customer,3
919,2019-01-01 08:04:40.9310,2019-01-01 08:20:00.9290,86,16,4465,Subscriber,3
181,2019-01-01 08:12:06.1410,2019-01-01 08:15:07.3860,185,318,3657,Subscriber,3
514,2019-01-01 08:12:37.1070,2019-01-01 08:21:11.8630,90,80,3747,Subscriber,3
1045,2019-01-01 08:20:01.3080,2019-01-01 08:37:26.4580,8,189,2885,Subscriber,3
872,2019-01-01 08:20:12.6590,2019-01-01 08:34:45.0810,66,33,3652,Subscriber,3
261,2019-01-01 08:20:28.2800,2019-01-01 08:24:50.2270,116,68,3326,Subscriber,3
207,2019-01-01 08:22:36.4640,2019-01-01 08:26:03.6910,222,365,4505,Subscriber,3
561,2019-01-01 08:23:15.7710,2019-01-01 08:32:36.8890,356,182,3989,Subscriber,3
1744,2019-01-01 08:23:37.4900,2019-01-01 08:52:42.4430,370,37,4413,Subscriber,3
571,2019-01-01 08:27:26.8160,2019-01-01 08:36:58.4260,8,68,4026,Subscriber,3
1885,2019-01-01 08:28:33.2320,2019-01-01 08:59:58.8030,345,361,3556,Subscriber,3
1447,2019-01-01 08:30:57.0780,2019-01-01 08:55:04.4260,93,40,2250,Subscriber,3
681,2019-01-01 08:37:04.5020,2019-01-01 08:48:25.6400,116,143,3586,Subscriber,3
1315,2019-01-01 08:40:22.5770,2019-01-01 09:02:17.7760,88,88,3846,Subscriber,3
436,2019-01-01 08:43:58.2310,2019-01-01 08:51:15.0370,372,46,3761,Subscriber,3
933,2019-01-01 08:44:01.8200,2019-01-01 08:59:35.2550,6,88,3063,Subscriber,3
133,2019-01-01 08:45:54.5630,2019-01-01 08:48:07.6110,318,189,3657,Subscriber,3
743,2019-01-01 08:46:34.8490,2019-01-01 08:58:58.5360,41,80,2181,Subscriber,3
1952,2019-01-01 08:50:43.9870,2019-01-01 09:23:16.1110,364,69,3001,Subscriber,3
409,2019-01-01 08:51:45.2140,2019-01-01 08:58:34.5790,174,175,2517,Customer,3
1880,2019-01-01 08:53:47.7610,2019-01-01 09:25:07.9260,71,27,3040,Subscriber,3
226,2019-01-01 08:55:05.9090,2019-01-01 08:58:52.0380,178,80,3910,Subscriber,3
332,2019-01-01 08:55:51.4360,2019-01-01 09:01:24.4020,87,68,4076,Subscriber,3
176,2019-01-01 08:56:47.6780,2019-01-01 08:59:44.3370,365,222,4505,Subscriber,3
462,2019-01-01 08:57:43.2440,2019-01-01 09:05:26.0470,95,90,3330,Subscriber,3
3475,2019-01-01 08:59:07.7540,2019-01-01 09:57:03.3010,36,36,2447,Customer,3
153,2019-01-01 08:59:11.3280,2019-01-01 09:01:44.8360,36,370,1372,Customer,3
2494,2019-01-01 09:02:21.7270,2019-01-01 09:43:56.3070,361,361,3556,Subscriber,3
602,2019-01-01 09:03:17.7670,2019-01-01 09:13:20.1370,105,70,3372,Subscriber,3
3157,2019-01-01 09:03:45.4080,2019-01-01 09:56:22.8410,370,36,3300,Customer,3
407,2019-01-01 09:07:28.3170,2019-01-01 09:14:15.6230,90,356,3330,Subscriber,3
901,2019-01-01 09:08:21.2950,2019-01-01 09:23:22.9760,88,36,3846,Subscriber,3
1070,2019-01-01 09:09:49.9610,2019-01-01 09:27:40.8550,40,80,2117,Subscriber,3
690,2019-01-01 09:10:23.8480,2019-01-01 09:21:53.9250,6,22,4423,Subscriber,3
1301,2019-01-01 09:16:10.8400,2019-01-01 09:37:52.4880,121,10,2498,Subscriber,3
431,2019-01-01 09:22:34.8010,2019-01-01 09:29:46.2280,179,80,4449,Subscriber,3
190,2019-01-01 09:23:26.8440,2019-01-01 09:26:37.3160,185,107,4389,Subscriber,3
835,2019-01-01 09:23:30.1160,2019-01-01 09:37:25.1440,358,23,2856,Subscriber,3
251,2019-01-01 09:23:36.1120,2019-01-01 09:27:47.7430,25,16,3869,Subscriber,3
167,2019-01-01 09:25:30.4070,2019-01-01 09:28:17.9460,116,76,4208,Subscriber,3
1960,2019-01-01 09:29:25.7990,2019-01-01 10:02:06.3470,51,51,2647,Subscriber,3
88888,2019-01-01 09:30:31.1730,2019-01-02 10:12:00.0010,107,116,3216,Customer,3
659,2019-01-01 09:31:56.8550,2019-01-01 09:42:56.2620,105,88,262,Subscriber,3
2792,2019-01-01 09:32:46.3720,2019-01-01 10:19:18.7560,107,107,3384,Customer,3
714,2019-01-01 09:34:35.5320,2019-01-01 09:46:30.1580,33,226,3373,Subscriber,3
716,2019-01-01 09:34:43.2980,2019-01-01 09:46:39.8190,33,226,2974,Subscriber,3
3292,2019-01-01 09:37:36.9380,2019-01-01 10:32:29.0420,58,58,3954,Subscriber,3
1052,2019-01-01 09:37:57.1930,2019-01-01 09:55:29.6660,190,78,4480,Subscriber,3
3236,2019-01-01 09:38:01.8440,2019-01-01 10:31:58.6810,58,58,3442,Subscriber,3
341,2019-01-01 09:38:34.0870,2019-01-01 09:44:15.4030,143,356,4064,Subscriber,3
228,2019-01-01 09:40:34.4320,2019-01-01 09:44:22.8380,150,157,4184,Subscriber,3
255,2019-01-01 09:43:32.3470,2019-01-01 09:47:47.7420,178,67,4121,Subscriber,3
490,2019-01-01 09:44:07.3140,2019-01-01 09:52:17.9080,139,95,3379,Subscriber,3
1809,2019-01-01 09:45:09.1170,2019-01-01 10:15:18.9950,65,163,3773,Customer,3
3184,2019-01-01 09:45:25.1170,2019-01-01 10:38:29.7420,361,345,3556,Subscriber,3
339,2019-01-01 09:45:49.5500,2019-01-01 09:51:29.5230,179,80,2618,Subscriber,3
961,2019-01-01 09:48:01.7260,2019-01-01 10:04:02.9890,119,39,2523,Subscriber,3
1570,2019-01-01 09:48:07.6620,2019-01-01 10:14:18.3160,40,370,2023,Subscriber,3
1681,2019-01-01 09:48:23.4150,2019-01-01 10:16:25.0950,65,163,3263,Customer,3
582,2019-01-01 09:48:49.9020,2019-01-01 09:58:32.8390,39,22,3380,Subscriber,3
659,2019-01-01 09:51:50.2190,2019-01-01 10:02:49.7920,88,80,3684,Subscriber,3
176,2019-01-01 09:53:56.9460,2019-01-01 09:56:53.8030,80,67,2181,Subscriber,3
5085,2019-01-01 09:55:10.8740,2019-01-01 11:19:56.8500,69,177,4404,Customer,3
812,2019-01-01 09:56:47.6340,2019-01-01 10:10:20.3380,63,372,4406,Subscriber,3
1700,2019-01-01 09:56:41.5270,2019-01-01 10:25:01.8890,59,69,3516,Subscriber,3
288,2019-01-01 09:58:06.5970,2019-01-01 10:02:55.4110,178,80,3863,Subscriber,3
68,2019-01-01 09:58:13.4560,2019-01-01 09:59:21.5500,332,332,2599,Subscriber,3
1444,2019-01-01 09:59:44.1640,2019-01-01 10:23:48.3710,332,22,2475,Subscriber,3
518,2019-01-01 09:59:54.8970,2019-01-01 10:08:33.2940,121,192,3806,Customer,3
171,2019-01-01 10:02:36.5770,2019-01-01 10:05:28.0730,80,67,4449,Subscriber,3
882,2019-01-01 10:03:14.7850,2019-01-01 10:17:57.5840,115,80,4379,Subscriber,3
1117,2019-01-01 10:04:46.7490,2019-01-01 10:23:24.2480,25,146,4514,Subscriber,3
1541,2019-01-01 10:05:00.4620,2019-01-01 10:30:41.9440,58,72,2470,Subscriber,3
1516,2019-01-01 10:05:08.7730,2019-01-01 10:30:24.8840,58,72,2504,Subscriber,3
3055,2019-01-01 10:05:59.7860,2019-01-01 10:56:55.3600,22,119,3380,Subscriber,3
704,2019-01-01 10:06:09.6320,2019-01-01 10:17:54.4700,197,159,2750,Subscriber,3
923,2019-01-01 10:06:04.8490,2019-01-01 10:21:28.1280,319,319,4485,Customer,3
1006,2019-01-01 10:06:19.0300,2019-01-01 10:23:05.9930,21,86,3392,Subscriber,3
2370,2019-01-01 10:06:36.6340,2019-01-01 10:46:07.1450,23,200,2170,Subscriber,3
322,2019-01-01 10:07:10.3340,2019-01-01 10:12:32.5900,110,104,2651,Subscriber,3
395,2019-01-01 10:08:42.4420,2019-01-01 10:15:18.2230,179,80,3984,Subscriber,3
891,2019-01-01 10:09:47.4270,2019-01-01 10:24:38.7050,43,24,2358,Customer,3
885,2019-01-01 10:10:20.9090,2019-01-01 10:25:05.9650,43,24,3334,Customer,3
172,2019-01-01 10:11:04.9630,2019-01-01 10:13:56.9700,80,67,3747,Subscriber,3
679,2019-01-01 10:12:37.4640,2019-01-01 10:23:56.9090,67,116,4449,Subscriber,3
447,2019-01-01 10:12:51.7770,2019-01-01 10:20:19.5410,181,73,3727,Customer,3
456,2019-01-01 10:15:14.5670,2019-01-01 10:22:50.9200,179,189,3861,Subscriber,3
359,2019-01-01 10:19:15.0100,2019-01-01 10:25:15.0060,39,363,2975,Subscriber,3
151,2019-01-01 10:19:42.0370,2019-01-01 10:22:13.2860,80,189,2618,Subscriber,3
456,2019-01-01 10:22:56.4740,2019-01-01 10:30:33.0410,175,69,2517,Subscriber,3
72,2019-01-01 10:25:02.8020,2019-01-01 10:26:15.4190,107,189,4389,Subscriber,3
522,2019-01-01 10:26:53.9040,2019-01-01 10:35:36.0260,6,370,4223,Subscriber,3
1711,2019-01-01 10:26:57.3730,2019-01-01 10:55:28.8330,376,58,2067,Subscriber,3
82,2019-01-01 10:28:51.4870,2019-01-01 10:30:13.6810,107,189,2524,Subscriber,3
1448,2019-01-01 10:28:59.6540,2019-01-01 10:53:08.5840,195,115,3620,Subscriber,3
1553,2019-01-01 10:29:15.5430,2019-01-01 10:55:09.0180,338,378,3838,Subscriber,3
466,2019-01-01 10:31:36.6710,2019-01-01 10:39:22.8200,51,12,2647,Subscriber,3
