bike_id,location_id
3689,3
4142,3
1628,3
2969,3
3469,3
4050,3
3861,3
3571,3
3066,3
3443,3
4517,3
3777,3
3957,3
1534,3
2504,3
3951,3
3442,3
2845,3
2409,3
3478,3
3454,3
3075,3
4016,3
2756,3
2382,3
3062,3
2706,3
3367,3
2456,3
2628,3
3695,3
3981,3
3712,3
4438,3
2419,3
4144,3
3398,3
4371,3
4045,3
2565,3
3432,3
4526,3
2170,3
4553,3
3933,3
3366,3
3392,3
4094,3
2983,3
2988,3
4060,3
2321,3
3959,3
2268,3
3460,3
2145,3
4442,3
2272,3
3368,3
4465,3
3657,3
3747,3
2885,3
3652,3
3326,3
4505,3
3989,3
4413,3
4026,3
3556,3
2250,3
3586,3
3846,3
3761,3
3063,3
2181,3
3001,3
2517,3
3040,3
3910,3
4076,3
3330,3
2447,3
1372,3
3372,3
3300,3
2117,3
4423,3
2498,3
4449,3
4389,3
2856,3
3869,3
4208,3
2647,3
3216,3
262,3
3384,3
3373,3
2974,3
3954,3
4480,3
4064,3
4184,3
4121,3
3379,3
3773,3
2618,3
2523,3
2023,3
3263,3
3380,3
3684,3
4404,3
4406,3
3516,3
3863,3
2599,3
2475,3
3806,3
4379,3
4514,3
2470,3
2750,3
4485,3
2651,3
3984,3
2358,3
3334,3
3727,3
2975,3
4223,3
2067,3
2524,3
3620,3
3838,3
3329,3
458,3
3782,3
3894,3
2064,3
3870,3
4169,3
2324,3
4395,3
3945,3
2761,3
3452,3
3979,3
4082,3
3983,3
2183,3
4501,3
4168,3
2449,3
2126,3
3020,3
3515,3
1656,3
3187,3
2815,3
3076,3
4479,3
2712,3
4140,3
4034,3
3839,3
4188,3
3627,3
3906,3
4487,3
2024,3
4053,3
4464,3
2745,3
2648,3
1844,3
2051,3
2200,3
4433,3
4383,3
2108,3
3473,3
2423,3
2790,3
4447,3
3730,3
4515,3
4502,3
4525,3
3034,3
2850,3
252,3
3924,3
4528,3
2235,3
4004,3
3871,3
2939,3
2829,3
3938,3
4461,3
2015,3
3648,3
3799,3
3746,3
3159,3
2035,3
2665,3
3240,3
4093,3
3955,3
4536,3
2955,3
3942,3
4014,3
2953,3
3926,3
4028,3
2816,3
3232,3
4073,3
3194,3
2789,3
2460,3
176,3
2833,3
3446,3
4128,3
2387,3
3865,3
4507,3
3011,3
3967,3
2496,3
2191,3
3553,3
2714,3
3475,3
2676,3
3224,3
2806,3
3854,3
2533,3
3257,3
2931,3
1221,3
2518,3
2457,3
2629,3
3691,3
3810,3
3482,3
2542,3
1108,3
2440,3
2794,3
2192,3
3017,3
2337,3
3615,3
3631,3
4457,3
2584,3
3941,3
3277,3
2603,3
4473,3
4401,3
4067,3
4390,3
3133,3
3581,3
2280,3
4155,3
4503,3
3534,3
3424,3
2256,3
2554,3
2384,3
4007,3
4519,3
4030,3
3767,3
2090,3
3833,3
3094,3
4454,3
4360,3
29,3
3919,3
2770,3
2251,3
3619,3
3038,3
2917,3
3010,3
2869,3
3156,3
2606,3
3210,3
2529,3
4214,3
3477,3
2431,3
4151,3
3759,3
4352,3
2007,3
566,3
2666,3
3327,3
2139,3
3348,3
4403,3
3880,3
3714,3
2150,3
879,3
2045,3
3435,3
3382,3
4530,3
4399,3
3873,3
3749,3
3622,3
2855,3
3056,3
2938,3
3960,3
1621,3
2608,3
3594,3
3095,3
2999,3
2862,3
2081,3
3083,3
3283,3
3114,3
2553,3
2184,3
3701,3
4386,3
3009,3
2882,3
3551,3
3612,3
3591,3
4143,3
3725,3
2187,3
2716,3
4020,3
2244,3
2433,3
2978,3
3698,3
3958,3
2968,3
3245,3
2841,3
2236,3
4000,3
2643,3
2407,3
4023,3
4476,3
4118,3
3545,3
4441,3
3816,3
2086,3
3829,3
2218,3
4402,3
4535,3
3705,3
4366,3
2231,3
