bike_id,location_id
1296,1
2947,1
2293,1
283,1
1799,1
661,1
2120,1
3187,1
3026,1
1597,1
3721,1
291,1
3534,1
902,1
508,1
1477,1
2938,1
2533,1
1629,1
3116,1
2392,1
259,1
2162,1
3391,1
1525,1
2387,1
1137,1
3039,1
156,1
3260,1
1323,1
3740,1
3185,1
1850,1
3607,1
1134,1
3527,1
577,1
376,1
1376,1
3168,1
3654,1
1217,1
768,1
1294,1
2834,1
1755,1
2918,1
854,1
71,1
2926,1
2789,1
2715,1
3032,1
1586,1
1226,1
3626,1
3396,1
3001,1
3022,1
1861,1
1527,1
3223,1
3119,1
1363,1
3310,1
2753,1
2896,1
428,1
3375,1
3489,1
377,1
1012,1
3158,1
2833,1
180,1
3620,1
3614,1
2924,1
2571,1
2710,1
2824,1
3212,1
66,1
2000,1
3694,1
74,1
243,1
2916,1
3471,1
1953,1
1346,1
2099,1
1195,1
3058,1
2299,1
437,1
3406,1
955,1
2169,1
413,1
2797,1
2265,1
1377,1
3539,1
953,1
3299,1
3181,1
22,1
3485,1
3418,1
3366,1
3007,1
1736,1
3674,1
2354,1
391,1
2329,1
3590,1
2624,1
3179,1
192,1
936,1
1342,1
3017,1
3199,1
1798,1
2631,1
2072,1
837,1
3106,1
3520,1
2127,1
1495,1
1249,1
2023,1
2045,1
3226,1
493,1
3224,1
2837,1
3129,1
2519,1
885,1
2218,1
1180,1
373,1
1118,1
3572,1
1378,1
3248,1
2318,1
3146,1
679,1
2212,1
3159,1
503,1
3457,1
2886,1
212,1
2792,1
53,1
2953,1
2534,1
2438,1
3297,1
1990,1
2978,1
2648,1
3498,1
2213,1
2771,1
3283,1
1266,1
280,1
1748,1
2756,1
1758,1
2312,1
628,1
3484,1
1374,1
2606,1
2819,1
3691,1
599,1
3452,1
3149,1
2341,1
2142,1
285,1
1102,1
3099,1
1222,1
2785,1
3037,1
2988,1
3161,1
3216,1
2544,1
1345,1
2941,1
184,1
3262,1
3709,1
2621,1
2147,1
3448,1
374,1
249,1
230,1
458,1
2231,1
1974,1
2005,1
2604,1
1554,1
2768,1
477,1
2937,1
3335,1
2594,1
402,1
2490,1
1228,1
3167,1
2825,1
3145,1
3343,1
3700,1
287,1
2171,1
806,1
1612,1
56,1
2501,1
1741,1
2610,1
3680,1
3435,1
3232,1
2660,1
1104,1
3424,1
3420,1
3429,1
2403,1
1625,1
2461,1
3033,1
3637,1
2335,1
2810,1
3004,1
1573,1
2551,1
2230,1
93,1
3624,1
3549,1
3668,1
2448,1
3586,1
545,1
3661,1
3103,1
2891,1
272,1
813,1
752,1
1474,1
3279,1
2226,1
2008,1
2240,1
2467,1
2232,1
3117,1
3704,1
3065,1
2954,1
332,1
2841,1
2943,1
2995,1
2362,1
1925,1
2757,1
571,1
835,1
23,1
3229,1
3000,1
762,1
398,1
2800,1
203,1
843,1
2144,1
189,1
2325,1
528,1
919,1
193,1
2411,1
1762,1
3603,1
3585,1
3079,1
3381,1
1578,1
3326,1
2133,1
3595,1
2718,1
2205,1
3364,1
1461,1
2013,1
948,1
1204,1
466,1
2831,1
3415,1
424,1
855,1
2914,1
1492,1
1262,1
1993,1
777,1
1438,1
3112,1
3075,1
2033,1
3085,1
1642,1
485,1
2986,1
1491,1
3582,1
3362,1
529,1
1616,1
3382,1
1509,1
3612,1
2027,1
111,1
3638,1
310,1
2457,1
1306,1
3641,1
2758,1
501,1
3252,1
608,1
756,1
2780,1
3078,1
1862,1
2730,1
2468,1
404,1
240,1
3110,1
911,1
3491,1
3144,1
