station_id,station_name,latitude,longitude,location_id
7000,Fort York  Blvd / Capreol Ct,43.639832,-79.395954,1
7001,Lower Jarvis St / The Esplanade,43.64783,-79.370698,1
7002,St. George St / Bloor St W,43.667333,-79.399429,1
7003,Madison Ave / Bloor St W,43.667158,-79.402761,1
7004,University Ave / Elm St,43.656518,-79.389099,1
7005,King St W / York St,43.6480008,-79.383177,1
7006,Bay St / College St (East Side),43.660439,-79.385525,1
7007,College St / Huron St,43.658148,-79.398167,1
7008,Wellesley St / Queen's Park Cres,43.663376,-79.392125,1
7009,King St E / Jarvis St,43.650325,-79.372287,1
7010,King St W / Spadina Ave,43.645323,-79.395003,1
7011,Wellington St W / Portland St,43.642982,-79.399256,1
7012,Elizabeth St / Edward St (Bus Terminal),43.656026,-79.385327,1
7013,Scott St / The Esplanade,43.64656,-79.375274,1
7014,Sherbourne St / Carlton St (Allan Gardens),43.663102,-79.373181,1
7015,King St W / Bay St (West Side),43.64852,-79.380576,1
7016,Bay St / Queens Quay W (Ferry Terminal),43.640823,-79.376265,1
7017,Widmer St / Adelaide St W,43.6475076,-79.3914841,1
7018,Bremner Blvd / Rees St,43.641529,-79.386741,1
7019,Temperance St. Station,43.6507021,-79.3800546,1
7020,Phoebe St / Spadina Ave,43.650033,-79.396555,1
7021,Bay St / Albert St,43.653264,-79.382458,1
7022,Simcoe St / Queen St W,43.650858,-79.387582,1
7023,College St / Borden St,43.6571,-79.4056,1
7024,Dundonald St / Church St,43.66663,-79.38148,1
7025,Ted Rogers Way / Bloor St E,43.671293,-79.380471,1
7026,Bay St / St. Joseph St,43.665527,-79.387499,1
7027,Beverley  St / Dundas St W,43.652823,-79.393388,1
7028,Gould St / Mutual St,43.6582,-79.3768,1
7029,Bay St / Bloor St W (East Side),43.66943,-79.38915,1
7030,Bay St / Wellesley St W,43.664088,-79.387095,1
7031,Jarvis St / Isabella St,43.668991,-79.379385,1
7032,Augusta Ave / Dundas St W,43.652473,-79.401456,1
7033,Union Station,43.645609,-79.380386,1
7034,Church St / Bloor St E,43.671389,-79.382919,1
7035,Queen St W / Ossington Ave,43.643975,-79.419576,1
7036,Trinity St /Front St E,43.651318,-79.36023,1
7037,Bathurst St / Dundas St W,43.6523,-79.4058,1
7038,Dundas St W / Yonge St,43.656094,-79.381484,1
7039,Simcoe St / Michael Sweet Ave - SMART,43.652327224103,-79.3882538196087,1
7040,Euclid Ave / Bloor St W - SMART,43.664467,-79.414783,1
7041,Edward St / Yonge St,43.656729,-79.382736,1
7042,Sherbourne St / Wellesley St E,43.6673,-79.374,1
7043,Queens Quay W / Lower Simcoe St,43.63951,-79.383717,1
7044,Church St / Alexander St,43.663722,-79.380288,1
7045,Bond St / Queen St E,43.653236,-79.376716,1
7046,Niagara St / Richmond St W,43.64534,-79.409597,1
7047,University Ave / Gerrard St W (East Side),43.657763,-79.389165,1
7048,Front St W / Yonge St (Hockey Hall of Fame),43.646144,-79.377962,1
7049,Queen St W / Portland St,43.6476,-79.4015,1
7050,Richmond St E / Jarvis St Green P,43.652634,-79.374222,1
7051,Mutual St / Shuter St,43.6548789,-79.37509070000002,1
7052,Wellington St W / Bay St,43.647259,-79.379878,1
7053,Metro Hall Plaza,43.645859,-79.38783,1
7054,Navy Wharf Ct. / Bremner Blvd.,43.640722,-79.391051,1
7055,Jarvis St / Carlton St,43.66207,-79.37617,1
7056,Parliament St / Gerrard St,43.662132,-79.3656796,1
7057,Simcoe St / Wellington St South,43.6458569,-79.3853654,1
